,maxtemp,power,mintemp,weather,wind
2011-01-01,19,微风,10,多云,无持续风向
2011-01-02,19,微风,11,多云,无持续风向
2011-01-03,18,微风,12,多云,无持续风向
2011-01-04,19,微风,8,小雨,无持续风向
2011-01-05,16,微风~3-4级,9,多云,无持续风向~北风
2011-01-06,16,微风,9,晴,无持续风向
2011-01-07,18,微风,10,多云,无持续风向
2011-01-08,16,微风,9,多云,无持续风向
2011-01-09,12,微风,6,阵雨,无持续风向
2011-01-10,9,微风,6,小到中雨~小雨,无持续风向
2011-01-11,10,微风,8,阵雨,无持续风向
2011-01-12,14,微风,7,小雨,无持续风向
2011-01-13,15,微风,10,阵雨~阴,无持续风向
2011-01-14,12,3-4级,5,多云,东北风
2011-01-15,14,微风,9,晴~多云,无持续风向
2011-01-16,14,微风,5,多云~阴,无持续风向
2011-01-26,16,微风,9,多云,无持续风向
2011-01-29,13,3-4级,5,多云,北风
2011-01-30,14,3-4级,5,多云,北风
2011-01-31,16,微风,8,晴~多云,无持续风向
2011-02-01,17,微风,8,多云,无持续风向
2011-02-02,18,微风,10,多云,无持续风向
2011-02-03,21,微风,11,多云,无持续风向
2011-02-04,23,微风,9,晴~多云,无持续风向
2011-02-05,25,微风,10,晴,无持续风向
2011-02-06,25,微风,11,晴~多云,无持续风向
2011-02-07,26,微风,14,多云,无持续风向
2011-02-08,26,微风,13,多云,无持续风向
2011-02-09,24,微风,15,多云,无持续风向
2011-02-10,26,微风,12,多云~小雨,无持续风向
2011-02-11,15,3-4级,10,阴,北风
2011-02-12,14,微风,9,阴~小雨,无持续风向
2011-02-13,10,微风,6,中雨~小雨,无持续风向
2011-02-14,14,微风,7,阴,无持续风向
2011-02-15,9,微风,6,小雨,无持续风向
2011-02-16,11,微风,9,小雨~阴,无持续风向
2011-02-17,14,微风,9,雾,无持续风向
2011-02-18,14,微风,10,阴~小雨,无持续风向
2011-02-19,10,微风,8,小雨,无持续风向
2011-02-20,15,微风,10,阴,无持续风向
2011-02-21,17,微风,14,阴~多云,无持续风向
2011-02-22,19,微风,14,小雨~多云,无持续风向
2011-02-23,20,微风,15,多云~阴,无持续风向
2011-02-24,21,微风,14,多云,无持续风向
2011-02-25,26,微风,14,多云,无持续风向
2011-02-26,25,微风,18,多云,无持续风向
2011-02-27,25,微风,18,多云,无持续风向
2011-02-28,27,微风,17,晴~多云,无持续风向
2011-03-01,25,微风,13,多云,无持续风向
2011-03-02,19,3-4级~微风,12,多云~阴,北风~无持续风向
2011-03-03,22,微风,12,多云,无持续风向
2011-03-04,21,微风,12,多云,无持续风向
2011-03-05,23,微风,15,多云~阴,无持续风向
2011-03-06,23,微风~3-4级,14,阴~小雨,无持续风向~北风
2011-03-07,17,3-4级,12,阴,北风
2011-03-08,19,微风,12,小雨,无持续风向
2011-03-09,16,微风~3-4级,12,小雨,无持续风向~北风
2011-03-10,17,微风,13,小雨~阴,无持续风向
2011-03-11,19,微风,13,多云,无持续风向
2011-03-12,19,微风,15,多云,无持续风向
2011-03-13,25,微风,15,多云,无持续风向
2011-03-14,26,微风,17,多云,无持续风向
2011-03-15,22,4-5级~3-4级,11,多云,北风
2011-03-16,15,4-5级~3-4级,10,阴,北风
2011-03-17,19,3-4级~微风,13,多云~小雨,北风~无持续风向
2011-03-18,15,微风,11,小到中雨~中雨,无持续风向
2011-03-19,16,微风,12,小雨,无持续风向
2011-03-20,21,微风,17,多云,无持续风向
2011-03-21,27,微风,18,阴~小雨,无持续风向
2011-03-22,15,3-4级,11,阴~小雨,北风
2011-03-23,18,3-4级,11,多云~阴,北风
2011-03-24,17,微风,13,阴~多云,无持续风向
2011-03-25,18,微风,13,多云,无持续风向
2011-03-26,20,微风,14,阴,无持续风向
2011-03-27,15,微风,10,小雨~阴,无持续风向
2011-03-28,22,微风,12,多云,无持续风向
2011-03-29,25,微风,12,多云,无持续风向
2011-03-30,21,微风,13,阴,无持续风向
2011-03-31,25,微风,15,多云,无持续风向
2011-04-01,27,微风,16,多云,无持续风向
2011-04-02,28,微风,17,多云,无持续风向
2011-04-03,28,微风,14,多云~小雨,无持续风向
2011-04-04,19,微风,15,阴~多云,无持续风向
2011-04-05,23,微风,16,多云,无持续风向
2011-04-06,24,微风,17,多云,无持续风向
